original_image,mask_file,crop_file,x,y,width,height,yolo_confidence,coverage,classifier_confidence,predicted_condition,quality_score,latitude,longitude
1303859174006775.jpg,1303859174006775_3.png,crops/1303859174006775_3.png,1000,423,113,89,0.918401,0.0028826395670572,0.9912154674530028,good,1.0,27.679565176171,85.400643221994
1303859174006775.jpg,1303859174006775_4.png,crops/1303859174006775_4.png,981,1283,161,194,0.863894,0.009309450785319,0.7513102889060974,damaged,0.5,27.679565176171,85.400643221994
1303859174006775.jpg,1303859174006775_5.png,crops/1303859174006775_5.png,1016,283,107,88,0.798442,0.0025993982950846,0.9990198612213136,good,1.0,27.679565176171,85.400643221994
1309516393637444.jpg,1309516393637444_0.png,crops/1309516393637444_0.png,1248,159,102,174,0.920313,0.0033226013183593,0.9998186230659484,good,1.0,27.679202869971,85.402136250374
1309516393637444.jpg,1309516393637444_1.png,crops/1309516393637444_1.png,897,1256,179,213,0.903471,0.008095105489095,0.9306515455245972,good,1.0,27.679202869971,85.402136250374
1309516393637444.jpg,1309516393637444_2.png,crops/1309516393637444_2.png,1001,932,147,156,0.891354,0.0050907135009765,0.9952481389045716,good,1.0,27.679202869971,85.402136250374
1309516393637444.jpg,1309516393637444_3.png,crops/1309516393637444_3.png,1091,691,128,123,0.518621,0.003432273864746,0.9956159591674804,good,1.0,27.679202869971,85.402136250374
1324000582147615.jpg,1324000582147615_0.png,crops/1324000582147615_0.png,841,1017,143,111,0.981929,0.0043023427327473,0.994147539138794,good,1.0,27.680756015085,85.395209338533
1324000582147615.jpg,1324000582147615_1.png,crops/1324000582147615_1.png,769,1325,151,122,0.979838,0.0048211415608723,0.9900334477424622,good,1.0,27.680756015085,85.395209338533
1324000582147615.jpg,1324000582147615_2.png,crops/1324000582147615_2.png,913,745,143,103,0.755361,0.0036325454711914,0.9989510774612428,good,1.0,27.680756015085,85.395209338533
1324000582147615.jpg,1324000582147615_3.png,crops/1324000582147615_3.png,1223,20,99,84,0.485974,0.0020955403645833,0.9973987340927124,good,1.0,27.680756015085,85.395209338533
1337681697451040.jpg,1337681697451040_0.png,crops/1337681697451040_0.png,846,1004,147,162,0.97914,0.0053380330403645,0.9997125267982484,good,1.0,27.680232937738,85.397768406077
1337681697451040.jpg,1337681697451040_1.png,crops/1337681697451040_1.png,952,633,123,127,0.870555,0.0036490758260091,0.9999555349349976,good,1.0,27.680232937738,85.397768406077
1337681697451040.jpg,1337681697451040_2.png,crops/1337681697451040_2.png,1032,355,97,99,0.810947,0.0023870468139648,0.9991996884346008,good,1.0,27.680232937738,85.397768406077
1337681697451040.jpg,1337681697451040_3.png,crops/1337681697451040_3.png,1081,115,89,94,0.696884,0.0020516713460286,0.998231828212738,good,1.0,27.680232937738,85.397768406077
1343154610258422.jpg,1343154610258422_0.png,crops/1343154610258422_0.png,1124,468,99,112,0.961184,0.0029369990030924,0.9993799924850464,good,1.0,27.679035189281,85.402871298898
1343154610258422.jpg,1343154610258422_1.png,crops/1343154610258422_1.png,1090,924,119,165,0.952426,0.0055503845214843,0.9491206407546996,good,1.0,27.679035189281,85.402871298898
1343154610258422.jpg,1343154610258422_2.png,crops/1343154610258422_2.png,1067,1267,128,232,0.908355,0.0088698069254557,0.9441902041435242,damaged,0.5,27.679035189281,85.402871298898
1343154610258422.jpg,1343154610258422_3.png,crops/1343154610258422_3.png,1112,668,107,129,0.878236,0.003732681274414,0.9973478317260742,good,1.0,27.679035189281,85.402871298898
1343154610258422.jpg,1343154610258422_4.png,crops/1343154610258422_4.png,1136,308,89,87,0.818732,0.0020866394042968,0.9994595646858216,good,1.0,27.679035189281,85.402871298898
1343154610258422.jpg,1343154610258422_5.png,crops/1343154610258422_5.png,1190,79,32,60,0.257109,0.0005324681599934,0.9953800439834596,good,1.0,27.679035189281,85.402871298898
1343710423417924.jpg,1343710423417924_0.png,crops/1343710423417924_0.png,1189,458,91,81,0.803575,0.0017922719319661,0.9996647834777832,good,1.0,27.673328159911,85.411294299859
1343710423417924.jpg,1343710423417924_1.png,crops/1343710423417924_1.png,1186,1251,132,182,0.690014,0.0068448384602864,0.9892746806144714,good,1.0,27.673328159911,85.411294299859
1343710423417924.jpg,1343710423417924_2.png,crops/1343710423417924_2.png,1210,765,101,120,0.68772,0.003329594930013,0.9995859265327454,good,1.0,27.673328159911,85.411294299859
1343710423417924.jpg,1343710423417924_3.png,crops/1343710423417924_3.png,1144,38,73,151,0.667416,0.003062884012858,0.9997990727424622,good,1.0,27.673328159911,85.411294299859
1343710423417924.jpg,1343710423417924_4.png,crops/1343710423417924_4.png,1155,238,77,72,0.479639,0.0014489491780598,0.9994775652885436,good,1.0,27.673328159911,85.411294299859
1346830859974736.jpg,1346830859974736_2.png,crops/1346830859974736_2.png,934,183,140,127,0.286622,0.0036627451578776,0.8345228433609009,good,1.0,27.678002384088,85.407352977698
1356665665381684.jpg,1356665665381684_0.png,crops/1356665665381684_0.png,1129,518,129,140,0.907392,0.0048561096191406,0.9942761063575744,good,1.0,27.679419097185,85.401237339005
1356665665381684.jpg,1356665665381684_1.png,crops/1356665665381684_1.png,1082,807,169,216,0.87328,0.0093266169230143,0.938588321208954,good,1.0,27.679419097185,85.401237339005
1356665665381684.jpg,1356665665381684_2.png,crops/1356665665381684_2.png,1166,328,105,97,0.862194,0.0027650197347005,0.999640941619873,good,1.0,27.679419097185,85.401237339005
1356665665381684.jpg,1356665665381684_3.png,crops/1356665665381684_3.png,1190,203,86,67,0.82758,0.0016374588012695,0.9989610910415648,good,1.0,27.679419097185,85.401237339005
1356665665381684.jpg,1356665665381684_4.png,crops/1356665665381684_4.png,1210,26,71,44,0.29809,0.0008500417073567,0.9944445490837096,good,1.0,27.679419097185,85.401237339005
1357864325254756.jpg,1357864325254756_0.png,crops/1357864325254756_0.png,1119,617,157,268,0.951107,0.0074755350748697,0.9944784641265868,good,1.0,27.671332209024,85.420607516041
1357864325254756.jpg,1357864325254756_1.png,crops/1357864325254756_1.png,1224,366,98,161,0.936778,0.003735860188802,0.999291181564331,good,1.0,27.671332209024,85.420607516041
1357864325254756.jpg,1357864325254756_2.png,crops/1357864325254756_2.png,1266,178,73,132,0.748037,0.0024964014689127,0.9997435212135316,good,1.0,27.671332209024,85.420607516041
1357864325254756.jpg,1357864325254756_3.png,crops/1357864325254756_3.png,1276,50,57,84,0.709821,0.0013291041056315,0.9966223239898682,good,1.0,27.671332209024,85.420607516041
1370417060815102.jpg,1370417060815102_0.png,crops/1370417060815102_0.png,1128,934,151,217,0.823729,0.0072584152221679,0.9912494421005248,damaged,0.5,27.679474833263,85.401001932415
1370417060815102.jpg,1370417060815102_1.png,crops/1370417060815102_1.png,1054,1388,157,147,0.570358,0.0059808095296223,0.9925981760025024,damaged,0.5,27.679474833263,85.401001932415
1386739046011321.jpg,1386739046011321_0.png,crops/1386739046011321_0.png,1007,1050,134,455,0.929249,0.0162569681803385,0.9496000409126282,good,1.0,27.671520644101,85.417142677023
1413677186661647.jpg,1413677186661647_0.png,crops/1413677186661647_0.png,1015,184,101,118,0.666794,0.0027236938476562,0.9940146803855896,good,1.0,27.6785953169,85.404914687629
1413677186661647.jpg,1413677186661647_1.png,crops/1413677186661647_1.png,1033,13,92,97,0.489557,0.0022395451863606,0.998563587665558,good,1.0,27.6785953169,85.404914687629
1437763237654940.jpg,1437763237654940_0.png,crops/1437763237654940_0.png,1154,1033,89,160,0.954475,0.0032898585001627,0.9981830716133118,good,1.0,27.672996628142,85.412088460502
1437763237654940.jpg,1437763237654940_1.png,crops/1437763237654940_1.png,1132,837,78,142,0.934167,0.002903938293457,0.999675750732422,good,1.0,27.672996628142,85.412088460502
1437763237654940.jpg,1437763237654940_2.png,crops/1437763237654940_2.png,1092,666,89,128,0.93081,0.0026346842447916,0.9997424483299256,good,1.0,27.672996628142,85.412088460502
1437763237654940.jpg,1437763237654940_3.png,crops/1437763237654940_3.png,1195,1263,133,182,0.9068,0.0040419896443684,0.9971297383308412,good,1.0,27.672996628142,85.412088460502
1439981526972995.jpg,1439981526972995_0.png,crops/1439981526972995_0.png,942,885,132,112,0.970816,0.0040718714396158,0.9961916208267212,good,1.0,27.671542957327,85.416814055213
1439981526972995.jpg,1439981526972995_1.png,crops/1439981526972995_1.png,996,570,109,77,0.850243,0.0020287831624348,0.999350368976593,good,1.0,27.671542957327,85.416814055213
